iter	RMSE
463	0.335662479
464	0.3356293433
465	0.3356038823
466	0.3355503865
467	0.3355074565
468	0.3354553823
469	0.3353987305
470	0.3353590181
471	0.3352816407
472	0.335252526
473	0.3351728818
474	0.335143567
475	0.3350880965
476	0.335075003
477	0.3350397088
478	0.3350321392
479	0.3349707416
480	0.3348985962
481	0.3348762487
482	0.3348699711
483	0.3348346792
484	0.33480419
485	0.3347658278
486	0.3346987548
487	0.3346605716
488	0.3346143758
489	0.3345380183
490	0.3344705302
491	0.3344321144
492	0.3343698963
493	0.3343075991
494	0.3342943242
495	0.334241982
496	0.3342110113
497	0.3341637367
498	0.3341220546
499	0.3341010842
500	0.3340562881
501	0.3339991833
502	0.333954574
503	0.3339086098
504	0.3338738791
505	0.3338003533
506	0.3337762215
507	0.3337412127
508	0.3336786275
509	0.3336556562
510	0.333607519
511	0.3335916045
512	0.3335538759
513	0.3335112442
514	0.3334812989
515	0.3334410473
516	0.3334087724
517	0.3333720475
518	0.3333183174
519	0.3332708921
520	0.3332189081
521	0.3331965634
522	0.3331548285
523	0.3331210371
524	0.3330883411
525	0.3330306198
526	0.3329962198
527	0.3329473607
528	0.3328908685
529	0.3328295994
530	0.3328053556
531	0.3327570237
532	0.3327317185
533	0.3327086517
534	0.3326799876
535	0.332648666
536	0.3326049023
537	0.3325989334
538	0.3325541566
539	0.3324966225
540	0.3324769838
541	0.3324439419
542	0.3324364276
543	0.3323939042
544	0.332361392
545	0.3323312401
546	0.3323070419
547	0.3322585389
548	0.3322187192
549	0.3321485585
550	0.3320795095
551	0.3320329285
552	0.3319662293
553	0.3319065889
554	0.3318897977
555	0.331867291
556	0.3318422098
557	0.3318071153
558	0.3317546044
559	0.331716426
560	0.3316784883
561	0.3316366678
562	0.3315780172
563	0.331548006
564	0.331490679
565	0.3314660705
566	0.3314220461
567	0.3313955008
568	0.3313271599
569	0.3312633242
570	0.3312294409
571	0.3311913095
572	0.3311437116
573	0.3310915048
574	0.3310558942
575	0.3310108781
576	0.3309559535
577	0.3309124801
578	0.3308739054
579	0.3308369521
580	0.3308050598
581	0.330752991
582	0.3307183053
583	0.3306905345
584	0.3306595657
585	0.3306456395
586	0.330625369
587	0.3306122988
588	0.3305668103
589	0.3305190881
590	0.3305102601
591	0.330494647
592	0.3304388188
593	0.3303803341
594	0.3303526214
595	0.3303286969
596	0.3302944668
597	0.3302443636
598	0.3302285295
599	0.3302170951
600	0.3301858086
601	0.3301499824
602	0.3301099029
603	0.3300517651
604	0.3300294702
605	0.3299996228
606	0.3299737362
607	0.3299352503
608	0.3299302113
609	0.329917111
610	0.3298937841
611	0.3298454212
612	0.3298408202
613	0.3297994992
614	0.3297743704
615	0.3297632605
616	0.3297357032
617	0.3296823903
618	0.3296567774
619	0.3296221312
620	0.329581763
621	0.3295341227
622	0.3294730435
623	0.3294402791
624	0.3293911061
625	0.3293706972
626	0.3293262506
627	0.3292811525
628	0.3292526284
629	0.3292162265
630	0.3291808587
631	0.3291694478
632	0.3291568534
633	0.3291085607
634	0.3290795112
635	0.3290325301
636	0.3289928108
637	0.3289575639
638	0.3289226854
639	0.3288916949
640	0.3288442592
641	0.3287900421
642	0.3287562926
643	0.3287172559
644	0.3286902769
645	0.3286640823
646	0.3286524709
647	0.3286314674
648	0.3285913739
649	0.3285501932
650	0.3285034205
651	0.3284774046
652	0.3284422966
653	0.3283966152
654	0.3283672034
655	0.3283461408
656	0.3283153524
657	0.3282885424
658	0.3282523023
659	0.3282275955
660	0.3281981702
661	0.3281862754
662	0.3281327268
663	0.3280879169
664	0.3280410955
665	0.3280173784
666	0.327984215
667	0.3279483158
668	0.3278976074
669	0.3278621354
670	0.3278275337
671	0.327799695
672	0.3277731539
673	0.3277647629
674	0.3277504942
675	0.3277101429
676	0.3276484261
677	0.3276217245
678	0.3275849195
679	0.3275699749
680	0.3275624111
681	0.3275166476
682	0.3274598075
683	0.3274496239
684	0.3274226247
685	0.3274166164
686	0.3273825408
687	0.3273468749
688	0.32731184
689	0.3272729357
690	0.3272430255
691	0.3272178291
692	0.3271967949
693	0.3271659955
694	0.3271582942
695	0.327139379
696	0.3270980555
697	0.3270626327
698	0.3270327019
699	0.3270151955
700	0.3269793678
701	0.3269386596
702	0.3269101095
703	0.3268773301
704	0.3268397941
705	0.3268194501
706	0.3267848913
707	0.3267633856
708	0.3267268546
709	0.3266819857
710	0.3266541163
711	0.3266260126
712	0.3265974814
713	0.3265577138
714	0.3265380307
715	0.3265078915
716	0.3264841636
717	0.3264638987
718	0.3264270188
719	0.3263861209
720	0.3263595602
721	0.3263263324
722	0.3262793815
723	0.3262362472
724	0.3262342923
725	0.3261955081
726	0.326157721
727	0.3261196837
728	0.3260939127
729	0.3260278339
730	0.3260008762
731	0.3259644919
732	0.3259276801
733	0.3259121466
734	0.3258804022
735	0.3258726552
736	0.3258490587
737	0.3258405908
738	0.3257925331
739	0.325765376
740	0.3257260119
741	0.3256970035
742	0.3256506596
743	0.3256055503
744	0.3255836275
745	0.3255359065
746	0.3255052963
747	0.3254734601
748	0.3254215812
749	0.3253983287
750	0.3253556831
751	0.3253040812
752	0.3252694963
753	0.3252393783
754	0.3252105631
755	0.3251735858
756	0.3251465372
757	0.3251083752
758	0.3250813286
759	0.3250162262
760	0.3249711859
761	0.324949975
762	0.3249239287
763	0.3248791396
764	0.3248516604
765	0.3248189943
766	0.3247801547
767	0.3247515353
768	0.3247005861
769	0.3246579464
770	0.3246241234
771	0.3245863652
772	0.3245399847
773	0.324514812
774	0.3244982627
775	0.3244478554
776	0.3244233744
777	0.3243965814
778	0.3243777091
779	0.3243384951
780	0.3242871399
781	0.3242487599
782	0.3242229149
783	0.3242188986
784	0.3241653231
785	0.3241339997
786	0.3241010272
787	0.3240678454
788	0.3240181282
789	0.3239734541
790	0.3239460791
791	0.3238999464
792	0.3238617311
793	0.3238331945
794	0.3238277772
795	0.3237855289
796	0.32374111
797	0.3237075021
798	0.323684601
799	0.3236542712
800	0.3236189385
801	0.3235720988
802	0.3235321028
803	0.3235056647
804	0.3234740878
805	0.3234451079
806	0.3234201158
807	0.3234136752
808	0.3233524241
809	0.3233158067
810	0.3232902271
811	0.3232695569
812	0.3232429228
813	0.3232024679
814	0.3231675918
815	0.3231309228
816	0.3230987725
817	0.3230727877
818	0.3230450657
819	0.3230191687
820	0.3229868015
821	0.3229429136
822	0.3229212997
823	0.3228911901
824	0.3228598532
825	0.3228277056
826	0.3227744891
827	0.3227340532
828	0.322713778
829	0.3226981297
830	0.3226482417
831	0.3226170301
832	0.3225799814
833	0.3225404932
834	0.3225202712
835	0.3224629144
836	0.3224303437
837	0.3223927088
838	0.3223656869
839	0.322339683
840	0.3223119193
841	0.3222909306
842	0.3222508437
843	0.3222039594
844	0.3221731843
845	0.3221267018
846	0.3221040466
847	0.3220741553
848	0.3220438984
849	0.3220208159
850	0.3219765742
851	0.3219459416
852	0.3219169243
853	0.3218882382
854	0.321852638
855	0.3218120701
856	0.3217898504
857	0.3217472999
858	0.3217231776
859	0.3217029713
860	0.3216809511
861	0.3216776429
862	0.3216459184
863	0.3216422314
864	0.3216069327
865	0.3215853673
866	0.3215467046
867	0.3215129817
868	0.3214841428
869	0.3214667741
870	0.3214229839
871	0.321370829
872	0.3213582621
873	0.3213214059
874	0.3212962514
875	0.3212761713
876	0.3212629689
877	0.321236497
878	0.3212055776
879	0.3211768508
880	0.3211596871
881	0.3211314531
882	0.3211188131
883	0.3210885541
884	0.321068536
885	0.3210190559
886	0.3209874519
887	0.3209581108
888	0.3209354011
889	0.3209115168
890	0.3208905265
891	0.3208578748
892	0.3208287783
893	0.3208052542
894	0.3207643815
895	0.3207289917
896	0.3206944051
897	0.3206724104
898	0.3206382608
899	0.3206142714
900	0.3205815733
901	0.3205710751
902	0.3205439924
903	0.3205155917
904	0.3204696945
905	0.3204558114
906	0.3204282289
907	0.3204003633
908	0.3203741822
909	0.3203484989
910	0.3203232674
911	0.320304186
912	0.3202852019
913	0.3202781114
914	0.3202538282
915	0.320234828
916	0.3202103565
917	0.320202825
918	0.320178068
919	0.3201385589
920	0.3201086843
921	0.3200860827
922	0.3200668833
923	0.3200362964
924	0.3200149073
925	0.3199749138
926	0.319951431
927	0.3199349244
928	0.3199162429
929	0.319896415
930	0.3198624461
931	0.3198199029
932	0.3197744202
933	0.3197368858
934	0.3197037955
935	0.3196864424
936	0.3196537766
937	0.3196493581
938	0.3196109583
939	0.3195883488
940	0.3195662995
941	0.3195633684
942	0.3195257444
943	0.3194839219
944	0.3194589466
945	0.3194300738
946	0.3194055022
947	0.3193848586
948	0.3193357721
949	0.3193137731
950	0.3192837275
951	0.3192510566
952	0.3192243803
953	0.3192009798
954	0.3191759808
955	0.3191463412
956	0.3191193677
957	0.3190843239
958	0.3190670421
959	0.3190588408
960	0.3190264264
961	0.3189931207
962	0.3189663548
963	0.3189434885
964	0.3189391717
965	0.3189249818
966	0.3189101336
967	0.3189021792
968	0.3188924977
969	0.318874666
970	0.3188638827
971	0.318826295
972	0.3188022206
973	0.3187759919
974	0.318753285
975	0.318710462
976	0.3186824311
977	0.3186426522
978	0.3186127444
979	0.3185783498
980	0.3185543734
981	0.3185057438
982	0.318478333
983	0.3184496607
984	0.3184359149
985	0.3184051057
986	0.3183655494
987	0.3183407738
988	0.318334964
989	0.3183035083
990	0.3182970576
991	0.318270342
992	0.31823663
993	0.3182212289
994	0.3182053686
995	0.3181889605
996	0.3181539963
997	0.3181237805
998	0.3180848176
999	0.3180532536
